Timestamp,CPU Usage (%),Memory Usage (MB),Disk I/O (KB/s)
2023-11-22 20:45:21,1.01,4470,0.00
0.00
0.00
0.00
2023-11-22 20:45:25,1.25,4474,0.00
0.00
0.00
0.00
2023-11-22 20:45:28,1,4478,0.00
0.00
0.00
0.00
2023-11-22 20:45:32,1.5,4485,0.00
0.00
0.00
0.00
2023-11-22 20:45:36,5.26,4469,0.00
0.00
0.00
0.00
2023-11-22 20:45:39,1.51,4466,0.00
0.00
0.00
0.00
2023-11-22 20:45:43,0.76,4469,0.00
0.00
0.00
0.00
2023-11-22 20:45:46,1.26,4477,0.00
0.00
0.00
0.00
2023-11-22 20:45:50,0.51,4491,0.00
0.00
0.00
0.00
2023-11-22 20:45:54,1,4499,0.00
0.00
0.00
0.00
2023-11-22 20:45:57,7.87,4491,0.00
0.00
0.00
0.00
2023-11-22 20:46:01,0.51,4516,0.00
0.00
0.00
0.00
2023-11-22 20:46:05,0.76,4506,0.00
0.00
0.00
0.00
2023-11-22 20:46:08,2.76,4522,0.00
0.00
0.00
0.00
2023-11-22 20:46:12,1.52,4516,0.00
0.00
0.00
0.00
2023-11-22 20:46:16,0.76,4495,0.00
0.00
0.00
0.00
2023-11-22 20:46:19,2.51,4488,0.00
0.00
0.00
0.00
2023-11-22 20:46:23,1.76,4498,0.00
0.00
0.00
0.00
2023-11-22 20:46:27,3.52,4514,0.00
0.00
0.00
0.00
2023-11-22 20:46:30,0.51,4477,0.00
0.00
0.00
0.00
2023-11-22 20:46:34,0.76,4485,0.00
0.00
0.00
0.00
2023-11-22 20:46:37,3.27,4472,0.00
0.00
0.00
0.00
2023-11-22 20:46:41,2.02,4489,0.00
0.00
0.00
0.00
2023-11-22 20:46:45,1.01,4479,0.00
0.00
0.00
0.00
2023-11-22 20:46:50,1.75,4464,0.00
0.00
0.00
0.00
2023-11-22 20:46:53,1.26,4482,0.00
0.00
0.00
0.00
2023-11-22 20:46:57,1.26,4492,0.00
0.00
0.00
0.00
2023-11-22 20:47:01,3.54,4506,0.00
0.00
0.00
0.00
2023-11-22 20:47:04,1.5,4508,0.00
0.00
0.00
0.00
2023-11-22 20:47:08,2.05,4496,0.00
0.00
0.00
0.00
2023-11-22 20:47:12,2.53,4465,0.00
0.00
0.00
0.00
2023-11-22 20:47:15,1.26,4461,0.00
0.00
0.00
0.00
2023-11-22 20:47:19,2.51,4451,0.00
0.00
0.00
0.00
2023-11-22 20:47:23,0.51,4444,0.00
0.00
0.00
0.00
2023-11-22 20:47:26,15.75,4454,0.00
0.00
0.00
0.00
2023-11-22 20:47:30,1.01,4449,0.00
0.00
0.00
0.00
2023-11-22 20:47:33,1.26,4445,0.00
0.00
0.00
0.00
2023-11-22 20:47:37,1.77,4438,0.00
0.00
0.00
0.00
2023-11-22 20:47:41,1.52,4455,0.00
0.00
0.00
0.00
2023-11-22 20:47:44,1.26,4462,0.00
0.00
0.00
0.00
2023-11-22 20:47:48,1.76,4454,0.00
0.00
0.00
0.00
2023-11-22 20:47:52,0.76,4258,0.00
0.00
0.00
0.00
